age,provisional_male,provisional_female,provisional_total,full_male,full_female,full_total
15, 904, 204, 1108, 0, 0, 0
16, 34543, 20364, 54907, 1010, 58, 1068
17, 176625, 170316, 346941, 37194, 27539, 64733
18, 164906, 164839, 329745, 123064, 108127, 231191
19, 155029, 155593, 310622, 160188, 143673, 303861
20, 147754, 149221, 296975, 187175, 168897, 356072
21, 136114, 135690, 271804, 201457, 184194, 385651
22, 126999, 126096, 253095, 222658, 205914, 428572
23, 119751, 118193, 237944, 248218, 229532, 477750
24, 111948, 110421, 222369, 264004, 244038, 508042
25, 107537, 107177, 214714, 290298, 265239, 555537
26, 102095, 102602, 204697, 307791, 278581, 586372
27, 97246, 99036, 196282, 316104, 283542, 599646
28, 92966, 96583, 189549, 326197, 292904, 619101
29, 91818, 95674, 187492, 342179, 305790, 647969
30, 86659, 91433, 178092, 340440, 305308, 645748
31, 83918, 88793, 172711, 347908, 308841, 656749
32, 81120, 87242, 168362, 354430, 315225, 669655
33, 76545, 82849, 159394, 351623, 312331, 663954
34, 74872, 81711, 156583, 359749, 318584, 678333
35, 74239, 81781, 156020, 368225, 326218, 694443
36, 73752, 81648, 155400, 378862, 335403, 714265
37, 72445, 80003, 152448, 384357, 339454, 723811
38, 67275, 75498, 142773, 375689, 329193, 704882
39, 60714, 70283, 130997, 356094, 311284, 667378
40, 58603, 68475, 127078, 358316, 310249, 668565
41, 58740, 69424, 128164, 367556, 319292, 686848
42, 57531, 69708, 127239, 382262, 331450, 713712
43, 56079, 69417, 125496, 392346, 341721, 734067
44, 57374, 71029, 128403, 412204, 359912, 772116
45, 57924, 73306, 131230, 432964, 379405, 812369
46, 59783, 75995, 135778, 450483, 395477, 845960
47, 59857, 75049, 134906, 441257, 385651, 826908
48, 60176, 77633, 137809, 455456, 397805, 853261
49, 59810, 77688, 137498, 455892, 397986, 853878
50, 59022, 78152, 137174, 466313, 404061, 870374
51, 57558, 77394, 134952, 466052, 404722, 870774
52, 55526, 76408, 131934, 471651, 406674, 878325
53, 51575, 73306, 124881, 465462, 400242, 865704
54, 48540, 70860, 119400, 455963, 388267, 844230
55, 44426, 67367, 111793, 445466, 374948, 820414
56, 42469, 63871, 106340, 431315, 361543, 792858
57, 39796, 59909, 99705, 413731, 344515, 758246
58, 36128, 56286, 92414, 404206, 338038, 742244
59, 33656, 54131, 87787, 395184, 328646, 723830
60, 30448, 51137, 81585, 379292, 313933, 693225
61, 28523, 47711, 76234, 366798, 303131, 669929
62, 26347, 45546, 71893, 353790, 292394, 646184
63, 24272, 44574, 68846, 355427, 293408, 648835
64, 22802, 42682, 65484, 350098, 287638, 637736
65, 20835, 40494, 61329, 342854, 280640, 623494
66, 20149, 40538, 60687, 345066, 279547, 624613
67, 19438, 40798, 60236, 353454, 286089, 639543
68, 18006, 40850, 58856, 364532, 291453, 655985
69, 17743, 41884, 59627, 386392, 307417, 693809
70, 1213, 1322, 2535, 320106, 258036, 578142
71, 1000, 1015, 2015, 243725, 195217, 438942
72, 982, 1062, 2044, 241878, 192713, 434591
73, 679, 675, 1354, 226728, 177430, 404158
74, 633, 642, 1275, 209729, 161733, 371462
75, 595, 516, 1111, 181421, 138336, 319757
76, 419, 319, 738, 154949, 114945, 269894
77, 453, 305, 758, 160860, 118060, 278920
78, 366, 257, 623, 155559, 113385, 268944
79, 255, 213, 468, 138656, 96215, 234871
80, 220, 176, 396, 128970, 89018, 217988
81, 201, 143, 344, 118746, 81049, 199795
82, 126, 93, 219, 98898, 63483, 162381
83, 99, 71, 170, 88053, 56729, 144782
84, 59, 63, 122, 81351, 51494, 132845
85, 51, 54, 105, 63462, 37487, 100949
86, 53, 37, 90, 57512, 33377, 90889
87, 36, 30, 66, 49840, 29714, 79554
88, 20, 10, 30, 33379, 17254, 50633
89, 15, 14, 29, 28030, 14724, 42754
90, 16, 6, 22, 24159, 12526, 36685
91, 11, 1, 12, 13362, 6173, 19535
92, 5, 4, 9, 10625, 4962, 15587
93, 5, 5, 10, 8670, 4109, 12779
94, 3, 0, 3, 3849, 1602, 5451
95, 2, 0, 2, 3102, 1227, 4329
96, 4, 2, 6, 2447, 1070, 3517
97, 1, 1, 2, 840, 344, 1184
98, 0, 0, 0, 446, 152, 598
99, 2, 0, 2, 261, 107, 368
100, 0, 0, 0, 86, 32, 118
101, 0, 0, 0, 44, 14, 58
102, 0, 0, 0, 37, 14, 51
103, 0, 1, 1, 7, 1, 8
104, 0, 0, 0, 4, 1, 5
105, 0, 0, 0, 3, 2, 5
106, 0, 0, 0, 3, 0, 3
