,district,provisional_male,provisional_female,provisional_total,full_male,full_female,full_total
1,AA03,0,0,0,1,0,1
2,AA78,0,0,0,0,1,1
3,AB01,79,86,165,247,163,410
4,AB02,27,36,63,122,65,187
5,AB03,6,9,15,40,51,91
6,AB04,3,4,7,36,34,70
7,AB05,1,4,5,32,30,62
8,AB09,31,18,49,68,12,80
9,AB10,1454,1537,2991,7537,5965,13502
10,AB11,1842,1983,3825,6466,4228,10694
11,AB12,1205,1585,2790,10531,9256,19787
12,AB13,95,118,213,1385,1334,2719
13,AB14,227,267,494,1930,1799,3729
14,AB15,1426,1810,3236,15358,14326,29684
15,AB16,2242,2956,5198,8441,6282,14723
16,AB18,0,0,0,0,1,1
17,AB21,896,1091,1987,9031,7861,16892
18,AB22,577,790,1367,6333,5720,12053
19,AB23,429,486,915,4745,4185,8930
20,AB24,3033,3172,6205,9429,5846,15275
21,AB25,1479,1369,2848,5169,3677,8846
22,AB28,0,0,0,1,0,1
23,AB29,0,1,1,1,0,1
24,AB30,217,281,498,2952,2650,5602
25,AB31,480,536,1016,6452,6074,12526
26,AB32,447,515,962,5645,5443,11088
27,AB33,130,172,302,2331,2105,4436
28,AB34,157,229,386,2217,2091,4308
29,AB35,114,118,232,988,919,1907
30,AB36,20,21,41,231,210,441
31,AB37,37,48,85,540,469,1009
32,AB38,120,186,306,1747,1516,3263
33,AB39,659,789,1448,6800,6434,13234
34,AB41,632,891,1523,8546,7893,16439
35,AB42,1524,1823,3347,12504,10761,23265
36,AB43,1062,1329,2391,8312,7201,15513
37,AB44,204,236,440,1357,1186,2543
38,AB45,425,521,946,4084,3568,7652
39,AB49,0,0,0,1,0,1
40,AB51,1017,1285,2302,13890,12782,26672
41,AB52,118,174,292,2101,1941,4042
42,AB53,362,466,828,4891,4259,9150
43,AB54,393,512,905,4341,3819,8160
44,AB55,285,442,727,3441,2912,6353
45,AB56,663,758,1421,5078,4555,9633
46,AL01,1877,2020,3897,13924,12318,26242
47,AL02,907,1037,1944,9515,8945,18460
48,AL03,1135,1333,2468,11036,10427,21463
49,AL04,976,1151,2127,10763,10407,21170
50,AL05,1053,1208,2261,12195,11901,24096
51,AL06,341,359,700,5075,4925,10000
52,AL07,1966,2369,4335,12053,10725,22778
53,AL08,579,693,1272,5000,4767,9767
54,AL09,401,453,854,4897,4454,9351
55,AL10,3109,2763,5872,11160,7877,19037
56,B00,2,0,2,0,0,0
57,B01,856,729,1585,1981,1034,3015
58,B02,77,62,139,109,43,152
59,B03,158,153,311,588,393,981
60,B04,261,144,405,271,86,357
61,B05,1266,1317,2583,2802,1696,4498
62,B05O,0,0,0,1,1,2
63,B06,2635,2810,5445,4419,2209,6628
64,B07,1028,1333,2361,1686,929,2615
65,B08,4837,5332,10169,9604,5090,14694
66,B09,2698,3332,6030,5506,3032,8538
67,B09O,0,0,0,1,0,1
68,B10,3226,3528,6754,5996,2995,8991
69,B11,5298,5816,11114,10862,5634,16496
70,B12,2696,2710,5406,4373,2124,6497
71,B13,2965,3432,6397,12223,9407,21630
72,B14,3205,3859,7064,12991,10685,23676
73,B15,1540,1571,3111,4900,3672,8572
74,B16,2738,2864,5602,6111,3611,9722
75,B17,1650,1990,3640,8426,7073,15499
76,B18,1968,2468,4436,3478,2107,5585
77,B19,3024,3237,6261,4095,2070,6165
78,B20,3780,4217,7997,9915,6711,16626
79,B21,4321,4498,8819,6946,3850,10796
80,B22,0,0,0,1,0,1
81,B23,3797,4766,8563,12408,9219,21627
82,B24,2197,2703,4900,8757,6649,15406
83,B25,1467,1826,3293,4639,3152,7791
84,B26,2021,2579,4600,11233,8661,19894
85,B27,2117,2594,4711,7539,5381,12920
86,B28,1760,2280,4040,10924,8875,19799
87,B29,3160,3653,6813,9485,7210,16695
88,B30,1930,2366,4296,8879,8006,16885
89,B31,4050,5361,9411,16849,13770,30619
90,B32,2921,4102,7023,11166,8842,20008
91,B33,2882,3856,6738,9666,6883,16549
92,B34,1364,1791,3155,5771,4467,10238
93,B35,845,1154,1999,2385,1921,4306
94,B36,2408,3337,5745,11559,9082,20641
95,B37,2903,3629,6532,10416,8182,18598
96,B38,1502,2029,3531,5979,5016,10995
97,B41,1,0,1,1,0,1
98,B42,1521,2023,3544,7781,6264,14045
99,B43,1369,1832,3201,10627,8990,19617
100,B44,2761,3692,6453,10683,8346,19029
101,B45,1920,2600,4520,10608,8880,19488
102,B46,422,483,905,5124,4684,9808
103,B47,285,313,598,3967,3839,7806
104,B48,180,180,360,2417,2215,4632
105,B49,341,456,797,4129,3899,8028
106,B50,200,218,418,2322,2190,4512
107,B60,933,1085,2018,10376,9753,20129
108,B61,1051,1235,2286,9250,8413,17663
109,B62,993,1280,2273,9126,7929,17055
110,B63,1687,2229,3916,12739,10743,23482
111,B64,986,1300,2286,5288,4147,9435
112,B65,1448,2017,3465,7567,5785,13352
113,B66,2748,3204,5952,5279,2977,8256
114,B67,2813,3367,6180,8603,5872,14475
115,B68,2154,2924,5078,10170,7699,17869
116,B69,2009,2669,4678,8914,6620,15534
117,B70,2708,3313,6021,7931,4802,12733
118,B71,2184,2805,4989,9364,6772,16136
119,B72,420,461,881,3886,3413,7299
120,B73,931,1087,2018,8917,8149,17066
121,B74,942,1127,2069,12951,12213,25164
122,B75,1115,1439,2554,9912,9388,19300
123,B76,956,920,1876,9067,7897,16964
124,B77,2778,3945,6723,19949,16809,36758
125,B78,972,1177,2149,9105,8013,17118
126,B79,962,1276,2238,8151,6800,14951
127,B80,270,263,533,2780,2527,5307
128,B90,1774,2075,3849,17991,16536,34527
129,B91,1213,1476,2689,13648,12812,26460
130,B92,1714,2061,3775,13986,12183,26169
131,B93,537,600,1137,7968,7828,15796
132,B94,162,184,346,3252,3122,6374
133,B95,190,211,401,2583,2510,5093
134,B96,118,143,261,2200,2089,4289
135,B97,1289,1633,2922,11919,10474,22393
136,B98,2902,3950,6852,17365,13992,31357
137,BA00,0,0,0,1,1,2
138,BA01,2337,2631,4968,13940,12625,26565
139,BA02,3890,4263,8153,23844,21399,45243
140,BA03,1401,1397,2798,13650,12587,26237
141,BA04,639,781,1420,7127,6456,13583
142,BA05,698,760,1458,6978,6648,13626
143,BA06,650,675,1325,5186,5003,10189
144,BA07,112,146,258,1393,1392,2785
145,BA08,122,179,301,1747,1673,3420
146,BA09,235,336,571,3165,2910,6075
147,BA10,150,195,345,1316,1265,2581
148,BA11,1352,1727,3079,12260,11399,23659
149,BA12,1178,1465,2643,11250,10180,21430
150,BA13,749,941,1690,7637,7017,14654
151,BA14,2231,2537,4768,18264,16502,34766
152,BA15,476,590,1066,5119,5128,10247
153,BA16,602,675,1277,4721,4290,9011
154,BA20,469,546,1015,4258,3570,7828
155,BA21,1606,2167,3773,12204,10231,22435
156,BA22,473,504,977,7229,6746,13975
157,BB00,0,0,0,1,0,1
158,BB01,4317,5739,10056,20813,14871,35684
159,BB02,3671,4562,8233,18907,14601,33508
160,BB03,1834,2369,4203,11505,9615,21120
161,BB04,1829,2451,4280,15124,13228,28352
162,BB05,3569,4573,8142,19965,15771,35736
163,BB06,641,788,1429,5420,4750,10170
164,BB07,1129,1259,2388,12687,11955,24642
165,BB08,1145,1418,2563,8013,6899,14912
166,BB09,2592,3300,5892,14337,10635,24972
167,BB10,2128,2707,4835,12566,9855,22421
168,BB11,1541,1967,3508,7074,5441,12515
169,BB12,1734,2069,3803,12188,10331,22519
170,BB18,677,886,1563,6220,5437,11657
171,BD00,0,0,0,1,0,1
172,BD01,531,383,914,900,336,1236
173,BD02,1776,2388,4164,9473,7422,16895
174,BD03,3315,3794,7109,7626,4143,11769
175,BD04,2280,3120,5400,8153,5926,14079
176,BD05,2794,3250,6044,6867,3780,10647
177,BD06,1758,2446,4204,9165,7402,16567
178,BD07,3308,3442,6750,8945,5238,14183
179,BD08,2738,3255,5993,7659,4350,12009
180,BD09,1972,2718,4690,7874,5402,13276
181,BD10,1390,1770,3160,8527,7435,15962
182,BD11,378,531,909,4000,3724,7724
183,BD12,909,1169,2078,5798,4781,10579
