"","age","points","frequency","sex"
"1",15,1,0,"male"
"2",16,1,0,"male"
"3",17,1,0,"male"
"4",18,1,0,"male"
"5",19,1,0,"male"
"6",20,1,0,"male"
"7",21,1,0,"male"
"8",22,1,0,"male"
"9",23,1,0,"male"
"10",24,1,0,"male"
"11",25,1,0,"male"
"12",26,1,0,"male"
"13",27,1,0,"male"
"14",28,1,0,"male"
"15",29,1,0,"male"
"16",30,1,0,"male"
"17",31,1,0,"male"
"18",32,1,0,"male"
"19",33,1,0,"male"
"20",34,1,0,"male"
"21",35,1,0,"male"
"22",36,1,0,"male"
"23",37,1,0,"male"
"24",38,1,0,"male"
"25",39,1,0,"male"
"26",40,1,0,"male"
"27",41,1,0,"male"
"28",42,1,0.00227379699085706,"male"
"29",43,1,0,"male"
"30",44,1,0,"male"
"31",45,1,0,"male"
"32",46,1,0,"male"
"33",47,1,0,"male"
"34",48,1,0,"male"
"35",49,1,0,"male"
"36",50,1,0,"male"
"37",51,1,0,"male"
"38",52,1,0,"male"
"39",53,1,0,"male"
"40",54,1,0,"male"
"41",55,1,0,"male"
"42",56,1,0,"male"
"43",57,1,0,"male"
"44",58,1,0,"male"
"45",59,1,0,"male"
"46",60,1,0,"male"
"47",61,1,0,"male"
"48",62,1,0,"male"
"49",63,1,0,"male"
"50",64,1,0,"male"
"51",65,1,0,"male"
"52",66,1,0,"male"
"53",67,1,0,"male"
"54",68,1,0,"male"
"55",69,1,0,"male"
"56",70,1,0,"male"
"57",71,1,0,"male"
"58",72,1,0,"male"
"59",73,1,0,"male"
"60",74,1,0,"male"
"61",75,1,0,"male"
"62",76,1,0,"male"
"63",77,1,0,"male"
"64",78,1,0,"male"
"65",79,1,0,"male"
"66",80,1,0,"male"
"67",81,1,0,"male"
"68",82,1,0,"male"
"69",83,1,0,"male"
"70",84,1,0,"male"
"71",85,1,0,"male"
"72",86,1,0,"male"
"73",87,1,0,"male"
"74",88,1,0,"male"
"75",89,1,0,"male"
"76",90,1,0,"male"
"77",91,1,0,"male"
"78",92,1,0,"male"
"79",93,1,0,"male"
"80",94,1,0,"male"
"81",95,1,0,"male"
"82",96,1,0,"male"
"83",97,1,0,"male"
"84",98,1,0,"male"
"85",99,1,0,"male"
"86",100,1,0,"male"
"87",15,2,0,"male"
"88",16,2,0,"male"
"89",17,2,0,"male"
"90",18,2,0,"male"
"91",19,2,0,"male"
"92",20,2,0,"male"
"93",21,2,0.0059246795488949,"male"
"94",22,2,0,"male"
"95",23,2,0,"male"
"96",24,2,0,"male"
"97",25,2,0,"male"
"98",26,2,0,"male"
"99",27,2,0,"male"
"100",28,2,0,"male"
"101",29,2,0,"male"
"102",30,2,0.00234137752605368,"male"
"103",31,2,0,"male"
"104",32,2,0,"male"
"105",33,2,0,"male"
"106",34,2,0,"male"
"107",35,2,0,"male"
"108",36,2,0,"male"
"109",37,2,0,"male"
"110",38,2,0.00225751979844863,"male"
"111",39,2,0,"male"
"112",40,2,0,"male"
"113",41,2,0,"male"
"114",42,2,0,"male"
"115",43,2,0,"male"
"116",44,2,0,"male"
"117",45,2,0,"male"
"118",46,2,0,"male"
"119",47,2,0,"male"
"120",48,2,0,"male"
"121",49,2,0,"male"
"122",50,2,0,"male"
"123",51,2,0,"male"
"124",52,2,0,"male"
"125",53,2,0,"male"
"126",54,2,0,"male"
"127",55,2,0,"male"
"128",56,2,0,"male"
"129",57,2,0,"male"
"130",58,2,0,"male"
"131",59,2,0,"male"
"132",60,2,0,"male"
"133",61,2,0,"male"
"134",62,2,0,"male"
"135",63,2,0,"male"
"136",64,2,0,"male"
"137",65,2,0,"male"
"138",66,2,0,"male"
"139",67,2,0,"male"
"140",68,2,0,"male"
"141",69,2,0,"male"
"142",70,2,0,"male"
"143",71,2,0,"male"
"144",72,2,0,"male"
"145",73,2,0,"male"
"146",74,2,0,"male"
"147",75,2,0,"male"
"148",76,2,0,"male"
"149",77,2,0,"male"
"150",78,2,0,"male"
"151",79,2,0,"male"
"152",80,2,0,"male"
"153",81,2,0,"male"
"154",82,2,0,"male"
"155",83,2,0,"male"
"156",84,2,0,"male"
"157",85,2,0,"male"
"158",86,2,0,"male"
"159",87,2,0,"male"
"160",88,2,0,"male"
"161",89,2,0,"male"
"162",90,2,0,"male"
"163",91,2,0,"male"
"164",92,2,0,"male"
"165",93,2,0,"male"
"166",94,2,0,"male"
"167",95,2,0,"male"
"168",96,2,0,"male"
"169",97,2,0,"male"
"170",98,2,0,"male"
"171",99,2,0,"male"
"172",100,2,0,"male"
"173",15,3,0,"male"
"174",16,3,1.29384299496526,"male"
"175",17,3,2.12329119488914,"male"
"176",18,3,7.08059867347293,"male"
"177",19,3,16.274502961452,"male"
"178",20,3,27.7670789928612,"male"
"179",21,3,36.2264531017179,"male"
"180",22,3,42.2185170038066,"male"
"181",23,3,48.093725286641,"male"
"182",24,3,51.9880197472018,"male"
"183",25,3,55.4174469315168,"male"
"184",26,3,58.9188213308091,"male"
"185",27,3,60.9797992016451,"male"
"186",28,3,61.629962568261,"male"
"187",29,3,62.3460530833162,"male"
"188",30,3,63.0837346844643,"male"
"189",31,3,63.9655787284693,"male"
